Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Dai, Peng; Ma, Xiaoqin; Zhao, Yanyang; Gong, Yunzhan; ",Heterogeneous Graph Transformer with Multi-View Representation Learning for Flaky Test Detection,Computers,15,6,372,2026,MDPI
"Pitstick, Kevin; Derr, Alex; Zhan, Lihan; Echeverría, Sebastián; ",Vessel: A Taxonomy of Reproducibility Issues for Container Images,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),,,3948-3952,2025,IEEE
"Malka, Julien; Zacchiroli, Stefano; Zimmermann, Théo; ",Docker does not Guarantee Reproducibility,arXiv preprint arXiv:2601.12811,,,,2026,
"Zhang, Chenhui; Wang, Haiyan; Zhu, Junyi; Gu, Zhaoquan; Wang, Le; ",Repairing Docker Smells with Large Language Models: An Empirical Study,Applied Sciences,16,13,6805,2026,MDPI
"Xu, Jiwei; Wu, Yuewen; Lu, Zhigang; Wang, Tao; ",Dockerfile tf smell detection based on dynamic and static analysis methods,2019 ieee 43rd annual computer software and applications conference (compsac),1,,185-190,2019,IEEE
"Jain, Vipin; Singh, Baldev; Khenwar, Medha; Sharma, Milind; ",Static vulnerability analysis of docker images,IOP Conference Series: Materials Science and Engineering,1131,1,012018,2021,IOP Publishing
"SU, Hui; ZHANG, Jianhui; ZENG, Junjie; CHU, Xiaoxi; ",Static Detection Method for Dockerfile Temporary Files Based on Rule Validation,Computer Engineering,51,3,189-196,,Beijing Zhongke Journal Publising Co. Ltd.
"Lu, Zhigang; Xu, Jiwei; Wu, Yuewen; Wang, Tao; Huang, Tao; ",An empirical case study on the temporary file smell in dockerfiles,IEEE Access,7,,63650-63659,2019,IEEE
"Chen, Dongjin; Yang, Wenhua; Pan, Minxue; Zhou, Yu; ",Automating Dockerfile Refactoring to Multi-stage Builds,Proceedings of the ACM on Software Engineering,3,FSE,1560-1581,2026,"ACM New York, NY, USA"
"Khadse, Mrinal Ashish; Dakhane, Dhananjay Manohar; ",Analysis of Docker Images on Static and Dynamic Vulnerability Scanning Tools,"2024 2nd International Conference on Signal Processing, Communication, Power and Embedded System (SCOPES)",,,1-6,2024,IEEE
"Henkel, Jordan; Bird, Christian; Lahiri, Shuvendu K; Reps, Thomas; ",A dataset of dockerfiles,Proceedings of the 17th international conference on mining software repositories,,,528-532,2020,
"Wu, Yiwen; Zhang, Yang; Wang, Tao; Wang, Huaimin; ",Characterizing the occurrence of dockerfile smells in open-source software: An empirical study,IEEE Access,8,,34127-34139,2020,IEEE
"Henkel, Jordan; Silva, Denini; Teixeira, Leopoldo; d’Amorim, Marcelo; Reps, Thomas; ",Shipwright: A human-in-the-loop system for dockerfile repair,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),,,1148-1160,2021,IEEE
"Wu, Yiwen; Zhang, Yang; Wang, Tao; Wang, Huaimin; ","Dockerfile changes in practice: A large-scale empirical study of 4,110 projects on github",2020 27th Asia-Pacific Software Engineering Conference (APSEC),,,247-256,2020,IEEE
