title,creators,year_or_source,source_queries_matched,permalink
"Towards Understanding Docker Build Faults in Practice: Symptoms, Root Causes, and Fix Patterns","Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Ding, Bo ; Wang, Huaimin","Proceedings of the ACM on software engineering, 2025-06, Vol.2 (FSE), p.868-890, Article FSE040",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3715757
Dockerfile Flakiness: Characterization and Repair,"Shabani, Taha ; Nashid, Noor ; Alian, Parsa ; Mesbah, Ali","Proceedings / International Conference on Software Engineering, 2025, p.1793-1805",GS;SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_11029932
Mining and measuring the impact of change patterns for improving the size and build time of docker images,"Rosa, Giovanni ; Guglielmi, Emanuela ; Iannone, Mattia ; Scalabrino, Simone ; Oliveto, Rocco","Empirical software engineering : an international journal, 2025-09, Vol.30 (5), p.150, Article 150",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1007_s10664_025_10680_8
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas","Proceedings / International Conference on Software Engineering, 2021, p.1148-1160",GS;SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_9402069
FlaPy: Mining Flaky Python Tests at Scale,"Gruber, Martin ; Fraser, Gordon","Proceedings (IEEE/ACM International Conference on Software Engineering Companion. Online), 2023, p.127-131",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_ICSE_Companion58688_2023_00039
Empirically evaluating flaky test detection techniques combining test case rerunning and machine learning models,"Parry, Owain ; Kapfhammer, Gregory M. ; Hilton, Michael ; McMinn, Phil","Empirical software engineering : an international journal, 2023-05, Vol.28 (3), p.72, Article 72",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1007_s10664_023_10307_w
Automating Dockerfile Refactoring to Multi-stage Builds,"Chen, Dongjin ; Yang, Wenhua ; Pan, Minxue ; Zhou, Yu","Proceedings of the ACM on software engineering, 2026-06, Vol.3 (FSE), p.1560-1581, Article FSE070",GS;SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_primary_3797098
A container-based infrastructure for fuzzy-driven root causing of flaky tests,"Terragni, Valerio ; Salza, Pasquale ; Ferrucci, Filomena","Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: New Ideas and Emerging Results, 2020, p.69-72",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_9397524
Fixing Dockerfile smells: an empirical study,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco","Empirical software engineering : an international journal, 2024-09, Vol.29 (5), p.108, Article 108",GS;SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3076312911
"Learning from, understanding, and supporting DevOps artifacts for docker","Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas","2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE), 2020, p.38-49",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3377811_3380406_brief
