title,creators,status,cited_in_thesis,notes
"Towards Understanding Docker Build Faults in Practice: Symptoms, Root Causes, and Fix Patterns","Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Ding, Bo ; Wang, Huaimin",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Dockerfile Flakiness: Characterization and Repair,"Shabani, Taha ; Nashid, Noor ; Alian, Parsa ; Mesbah, Ali",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Mining and measuring the impact of change patterns for improving the size and build time of docker images,"Rosa, Giovanni ; Guglielmi, Emanuela ; Iannone, Mattia ; Scalabrino, Simone ; Oliveto, Rocco",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Automating Dockerfile Refactoring to Multi-stage Builds,"Chen, Dongjin ; Yang, Wenhua ; Pan, Minxue ; Zhou, Yu",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Fixing Dockerfile smells: an empirical study,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
"Learning from, understanding, and supporting DevOps artifacts for docker","Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Repairing Docker Smells with Large Language Models: An Empirical Study,"Zhang, Chenhui ; Wang, Haiyan ; Zhu, Junyi ; Gu, Zhaoquan ; Wang, Le",CONFIRMED_INCLUDED,No,"Full text read: Zhang, Wang, Zhu, Gu & Wang, Applied Sciences (MDPI), 2026, peer-reviewed (assigned Academic Editor, formal review dates). LLM-based Docker smell repair evaluated on 417 real Dockerfiles."
An Empirical Study of Build Failures in the Docker Context,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Empirical Study of the Docker Smells Impact on the Image Size,"Durieux, Thomas",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Doctor: Optimizing Container Rebuild Efficiency by Instruction Re-orchestration,"Zhu, Zhiling ; Chen, Tieming ; Liu, Chengwei ; Liu, Han ; Song, Qijie ; Xu, Zhengzi ; Liu, Yang",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
An empirical analysis of the Docker container ecosystem on GitHub,"Cito, Jürgen ; Schermann, Gerald ; Wittern, Erik ; Leitner, Philipp ; Sali Zumberi ; Gall, Harald C",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
An empirical study on self-admitted technical debt in Dockerfiles,"Azuma, Hideaki ; Matsumoto, Shinsuke ; Kamei, Yasutaka ; Kusumoto, Shinji",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Refactorings and technical debt in docker projects: an empirical study,"Ksontini, Emna ; Kessentini, Marouane ; Ferreira, Thiago do N. ; Hassan, Foyzul",CONFIRMED_INCLUDED,No,"Full text read: Ksontini, Kessentini, Ferreira & Hassan, 2021 36th IEEE/ACM ASE, peer-reviewed. Empirical study of refactorings and technical debt across 68 Docker projects."
Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin",CONFIRMED_INCLUDED,No,"Full text read: Wu, Zhang, Wang & Wang, IEEE Access, peer-reviewed journal. Empirical study of Dockerfile smell occurrence across 6,334 projects."
An Empirical Case Study on the Temporary File Smell in Dockerfiles,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,"Rosa, Giovanni ; Scalabrino, Simone ; Robles, Gregorio ; Oliveto, Rocco",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,"Bui, Quang-Cuong ; Laukotter, Malte ; Scandariato, Riccardo",CONFIRMED_INCLUDED,No,"Full text read: Bui, Laukotter & Scandariato, 2023 IEEE ICSME, peer-reviewed. Automated repair tool for Dockerfile security smells with empirical evaluation."
DRIVE: Dockerfile Rule Mining and Violation Detection,"Zhou, Yu ; Zhan, Weilin ; Li, Zi ; Han, Tingting ; Chen, Taolue ; Gall, Harald",CONFIRMED_INCLUDED,Yes,Confirmed: currently cited in the dissertation References list as an SLR study
RUDSEA: recommending updates of Dockerfiles via software environment analysis,"Hassan, Foyzul ; Rodriguez, Rodney ; Wang, Xiaoyin",CONFIRMED_INCLUDED,No,"Full text read: Hassan, Rodriguez & Wang, Proceedings of the 2018 33rd ACM/IEEE ASE, peer-reviewed. Recommends Dockerfile updates via software-environment-change analysis; directly relevant to Dockerfile maintenance/mitigation."
