title,creators
"Towards Understanding Docker Build Faults in Practice: Symptoms, Root Causes, and Fix Patterns","Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Ding, Bo ; Wang, Huaimin"
Dockerfile Flakiness: Characterization and Repair,"Shabani, Taha ; Nashid, Noor ; Alian, Parsa ; Mesbah, Ali"
Mining and measuring the impact of change patterns for improving the size and build time of docker images,"Rosa, Giovanni ; Guglielmi, Emanuela ; Iannone, Mattia ; Scalabrino, Simone ; Oliveto, Rocco"
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas"
Automating Dockerfile Refactoring to Multi-stage Builds,"Chen, Dongjin ; Yang, Wenhua ; Pan, Minxue ; Zhou, Yu"
Fixing Dockerfile smells: an empirical study,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco"
"Learning from, understanding, and supporting DevOps artifacts for docker","Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas"
An Empirical Study of Build Failures in the Docker Context,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin"
Empirical Study of the Docker Smells Impact on the Image Size,"Durieux, Thomas"
Doctor: Optimizing Container Rebuild Efficiency by Instruction Re-orchestration,"Zhu, Zhiling ; Chen, Tieming ; Liu, Chengwei ; Liu, Han ; Song, Qijie ; Xu, Zhengzi ; Liu, Yang"
An empirical analysis of the Docker container ecosystem on GitHub,"Cito, Jürgen ; Schermann, Gerald ; Wittern, Erik ; Leitner, Philipp ; Sali Zumberi ; Gall, Harald C"
An empirical study on self-admitted technical debt in Dockerfiles,"Azuma, Hideaki ; Matsumoto, Shinsuke ; Kamei, Yasutaka ; Kusumoto, Shinji"
An Empirical Case Study on the Temporary File Smell in Dockerfiles,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao"
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,"Rosa, Giovanni ; Scalabrino, Simone ; Robles, Gregorio ; Oliveto, Rocco"
DRIVE: Dockerfile Rule Mining and Violation Detection,"Zhou, Yu ; Zhan, Weilin ; Li, Zi ; Han, Tingting ; Chen, Taolue ; Gall, Harald"
A multi-dimensional analysis of technical lag in Debian-based Docker images,"Zerouali, Ahmed ; Mens, Tom ; Decan, Alexandre ; Gonzalez-Barahona, Jesus ; Robles, Gregorio"
Ten simple rules for writing Dockerfiles for reproducible data science,"Nüst, Daniel ; Sochat, Vanessa ; Marwick, Ben ; Eglen, Stephen J. ; Head, Tim ; Hirst, Tony ; Evans, Benjamin D."
Structured information on state and evolution of dockerfiles on github,"Schermann, Gerald ; Zumberi, Sali ; Cito, Jürgen"
Vessel: A Taxonomy of Reproducibility Issues for Container Images,"Pitstick, Kevin; Derr, Alex; Zhan, Lihan; Echeverría, Sebastián;"
Docker does not guarantee reproducibility,"Malka, Julien; Zacchiroli, Stefano; Zimmermann, Théo;"
Refactoring for Dockerfile quality: A dive into developer practices and automation potential,"Ksontini, Emna; Mastouri, Meriem; Khalsi, Rania; Kessentini, Wael;"
"Understanding Docker Refactorings: Expanded Taxonomy, Operational Trade-Offs, and Role-Aware Recommendations","Ksontini, Emna; Ferreira, Thiago; Khalsi, Rania; Kessentini, Wael;"
