title,creators,notes
Repairing Docker Smells with Large Language Models: An Empirical Study,"Zhang, Chenhui ; Wang, Haiyan ; Zhu, Junyi ; Gu, Zhaoquan ; Wang, Le","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
Refactorings and technical debt in docker projects: an empirical study,"Ksontini, Emna ; Kessentini, Marouane ; Ferreira, Thiago do N. ; Hassan, Foyzul","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,"Bui, Quang-Cuong ; Laukotter, Malte ; Scandariato, Riccardo","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
RUDSEA: recommending updates of Dockerfiles via software environment analysis,"Hassan, Foyzul ; Rodriguez, Rodney ; Wang, Xiaoyin","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
Exploring the relationship between dockerfile quality and project characteristics,"Wu, Yiwen","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,"Ksontini, Emna ; Abid, Aycha ; Khalsi, Rania ; Kessentini, Marouane","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
A clustering-based approach for mining dockerfile evolutionary trajectories,"Zhang, Yang ; Wang, Huaimin ; Filkov, Vladimir","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
What Quality Aspects Influence the Adoption of Docker Images?,"Rosa, Giovanni ; Scalabrino, Simone ; Bavota, Gabriele ; Oliveto, Rocco","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
"Dockerfile changes in practice: A large-scale empirical study of 4,110 projects on github","Wu, Yiwen; Zhang, Yang; Wang, Tao; Wang, Huaimin;","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
DockerFill: Automatically Completing Dockerfile Code With Syntax-Aware Multi-Task Learning,"Wu, Yiwen; Zhang, Yang; Wang, Tao; Ding, Bo; Wang, Huaimin;","Satisfies all inclusion criteria (title, abstract, and full-text screening) but is not currently cited or discussed anywhere in the thesis text."
